Area_Name	2001 Population
Andaman & Nicobar Islands	356265
Andhra Pradesh	75727541
Arunachal Pradesh	1091117
Assam	26638407
Bihar	82878796
Chandigarh	900914
Chhatisgarh	20795956
Dadra & Nagar Haveli	220451
Daman & Diu	158059
Delhi	13782976
Goa	1343998
Gujarat	50596992
Haryana	21082989
Himachal Pradesh	6077248
Jammu & Kashmir	10069917
Jharkhand	26909428
Karnataka	52733958
Kerala	31838619
Lakshadweep	60595
Madhya Pradesh	60385118
Maharashtra	96752247
Manipur	2388634
Meghalaya	2306069
Mizoram	891058
Nagaland	1988636
Orissa	36706920
Pondicherry	973829
Punjab	24289296
Rajasthan	56473122
Sikkim	540493
Tamil Nadu	62110839
Tripura	3191168
Uttar Pradesh	166052859
Uttaranchal	8479562
West Bengal	80221171
